round	key	quality	delta	hit_rate	mrr	p95	regressions	status	verdict	note
1	event_anchored_deboost	0.5502	-0.0027	0.6207	0.3856	209	0	discarded	discard	event_anchored gold buried by 1.3 cons boost ('27 april UNE Vibeke') — apply the narrow-window de-boost (≤3d window, factor 0.85) to event_anchored items too, gated on window width just like temporal_range to avoid regressing broader event golds.
1	rrf_k_resweep_dense	0.5313	-0.0093	0.6034	0.3629	141.5	0	no_change	discard	RRF_K re-sweep on the denser gold set: the parameter was last tuned (60→30) on the sparse label set; the jun19 densification to 68 golds may have moved the optimum. Sweep RRF_K over [20, 25, 30, 40, 50] in yaams/retrieve/hybrid.py and keep the value that maximises dev quality without regression.
2	rrf_k_resweep_dense	0.5313	-0.0093	0.6034	0.3629	159.2	0	discarded	discard	RRF_K re-sweep on the denser gold set (was tuned 60→30 on the sparse set) — the jun19 densification to 68 golds may have shifted the optimum; sweep e.g. [20, 25, 30, 35, 40] in hybrid.py and keep the value that strictly improves dev quality.
3	rrf_k_resweep_dense	0.5313	-0.0093	0.6034	0.3629	152.3	1	discarded	discard	RRF_K re-sweep on the denser gold set (was tuned 60→30 on the sparse set) — the jun19 densification to 68 golds may have shifted the optimum; sweep RRF_K across a range (e.g. 20, 30, 40, 50, 60) and keep the value that maximises dev quality.
4	event_anchored_deboost	0.5502	0.0096	0.6207	0.3856	153.3	0	win	discard	Apply the narrow-window (≤3d) consolidation de-boost of 0.85 to event_anchored items as well, gated on the same window-width condition used for the temporal_range gate — the "27 april UNE Vibeke" gold is buried by the 1.3 cons boost and reranking cannot recover a buried result; risk of regressing other event golds that rely on the boost is mitigated by the window-width gate (only fire when date span ≤3 days).
1	consolidation_boost_resweep	0.5406	0.0093	0.6034	0.3939	154	0	keep	WIN	Re-sweep consolidation_boost default (currently 1.1) now that temporal de-boost is gated separately — the temporal regression that previously blocked movement of this value no longer applies, so the global knob may move freely and could yield a quality gain.
2	per_field_bm25_sender_weight	0.5278	-0.0128	0.6034	0.3512	143.1	0	discarded	discard	per-field bm25: sender weight currently 1.0 — lowering it did not reduce false matches on chatty senders and lost quality; FTS_ITEM_WEIGHTS in hybrid.py
3	per_index_k_resweep	0.5463	0.0057	0.6034	0.4129	143.3	0	win	WIN	DEFAULT_PER_INDEX_K re-sweep on the denser 68-gold set (previously found 60->80 was a win; re-validate the optimal value now that the gold set has grown)
1	consolidation_boost_once	0.5463	0	0.6034	0.4129	160.8	0	discarded	discard	Apply consolidation_boost to the fused cons score once after the RRF accumulation loop in _fuse(), instead of multiplying it into every contribution inside the loop. Dual-covered cons currently get the boost applied to each index contribution, effectively squaring their advantage over single-index gold items.
2	co_coverage_credit	0.5463	0	0.6034	0.4129	142.4	0	discarded	discard	single-index penalty / co-coverage credit: in _fuse() after the loop, scale each fused entry's rrf_score by a factor f<1 when only one of (fts_rank, vec_rank) is set (e.g. 0.9), or symmetrically add a small bonus when both are present. Sweep f∈[0.85,0.9,0.95]; guard recall@10 so single-index golds do not drop out of top-10.
